Título,Autores,ISBN,Número de Páginas,Fecha de Publicación,Imagen de la Portada,Sinopsis,Géneros,Calificación de Usuarios,Número de Opiniones,saga,category,Número de Ventas
Dios emperador de Dune (Las crónicas de Dune 4),Frank Herbert,9788466357388.0,663.0,2021-10-21,http://books.google.com/books/content?id=Yh46EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Dios emperador de Dune es la cuarta entrega de la fascinante saga de ciencia ficción de Frank Herbert. Esta cuarta entrega de la saga «Dune» centra su trama en la figura mesiánica de Leto Atreides II (hijo de Paul Atreides, héroe cuya estirpe hunde sus raíces en la legendaria casa griega de los Atridas) y nos lleva, a través de diversos dilemas éticos, a comprender los mitos que necesita la humanidad y a los héroes que los encarnan. El futuro, en el mundo de Dune, pertenece solo a los que son capaces de pensar por sí mismos. Esta saga apasionante plantea por primera vez de forma completa, racional y convincente todo un mundo absolutamente diferente del nuestro. Sus referencias a los problemas ecológicos, el poder de las drogas y la fuerza de los mitos la han convertido en una obra de culto para millones de lectores en todo el mundo.",Fiction,,,Dune,Saga,794
Saga Dune 1-6. La mayor epopeya de todos los tiempos,Frank Herbert,9788466362092.0,3900.0,2021-12-02,http://books.google.com/books/content?id=uf5NEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Esta imponente edición estuche reúne los seis primeros volúmenes en edición actualizada de «Dune», la saga que se convirtió en un fenómeno de culto desde su publicación hace ya más de medio siglo. En un futuro lejano, en un planeta remoto, se libra una compleja lucha que tendrá repercusiones en toda la galaxia. En las arenas de Akarris, más conocido como Dune, aprender a sobrevivir no es suficiente... Este estuche contiene los volúmenes: 1. Dune 2. El mesías de Dune 3.Hijos de Dune 4. Dios emperador de Dune 5. Herejes de Dune 6. Casa capitular Dune Esta saga apasionante plantea por primera vez de forma completa, racional y convincente todo un mundo absolutamente diferente del nuestro. Sus referencias a los problemas ecológicos, el poder de las drogas y la fuerza de los mitos la han convertido en una obra de culto para millones de lectores en todo el mundo. Reseñas: «No conozco nada comparable, excepto El Señor de los Anillos.» Arthur C. Clarke «Es muy probable que Dune sea más vigente a día de hoy que cuando salió a la luz.» The New Yorker «Uno de los monumentos de la ciencia-ficción moderna.» The Chicago Tribune «Un fenómeno impresionante.» The Washington Post «La más gran novela de ciencia-ficción que ha habido. Star Wars no existiría sin ella.» The Guardian «Simplemente perfecta.» The New York Times",Fiction,,,Dune,Saga,994
La cruzada de las máquinas (Leyendas de Dune 2),Brian Herbert,9788401354533.0,807.0,2012-11-15,http://books.google.com/books/content?id=h4SxpQKQtnEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"La segunda entrega de la trilogía «Leyendas de Dune». El legado de Frank Herbert, el fascinante y ya mítico universo que creó en Dune, sigue vivo en esta apasionante segunda entrega de la trilogía «Leyendas de Dune». Han pasado veinticuatro años desde los sucesos relatados en Dune. La Yihad Butleriana. La revuelta de los humanos contra las máquinas pensantes tras el asesinato del hijo de Serena Butler se ha convertido en un conflicto sangriento, que se ha cobradoinnumerables vidas humanas. Vorian Atreides y Xavier Harkonnen comandan las fuerzas de la Yihad en una guerra interminable donde no hay vencedores ni vencidos. Los temibles cimek, liderados por el titán Agamenón, planean recuperar el poder que perdieron. Norma Cenva y Aurelius Venport están a punto de realizar un descubrimiento que cambiará radicalmente los viajes espaciales. Y en Arrakis, el remoto planeta de las dunas, Selim Montagusanos ysus partidarios dan los primeros pasos para convertirse en los fieros guerreros que cambiarán el curso de la historia: los fremen.",Fiction,,,Dune,Saga,843
La naturaleza de la Tierra Media,J. R. R. Tolkien,9788445012048.0,509.0,2022-03-16,http://books.google.com/books/content?id=ZfJEEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Un libro con detalles de la filosofía, imaginación y subcreación de Tolkien. J.R.R. Tolkien opinaba que El Silmarillion era el fundamento para su mundo imaginado, pero a pesar de ser la obra primaria y central, no fue capaz de llevarla a su forma final, y le tocó a su hijo, Christopher, construir la última versión de un 'Silmarillion' a partir de los relatos dejados por su padre cuando éste falleció. Porque, partiendo de un mito cerrado, con un comienzo y un final, el material narrativo había llegado a adquirir una extensión enorme, con importantes personajes que emergían de los Días Antiguos, entre los cuales Galadriel era la más importante. Por lo tanto, Tolkien tuvo que realizar una gran cantidad de ""reescrituras"" para que El Silmarillion guardase una correcta relación con El Señor de los Anillos. Los escritos recogidos en La naturaleza de la Tierra Media muestran los caminos que Tolkien tomó en busca de una mejor comprensión —más precisa, completa y consistente— de su propia y singular creación. Estos escritos, de diferentes extensiones, abarcan diversos temas, tales como: *El envejecimiento y la actuación del tiempo sobre los seres inmortales y mortales de la Tierra Media, y el sorprendente grado de precisión y habilidad matemática que Tolkien aplicó para conseguir unos esquemas rigurosos en este sentido; *Asuntos fundacionales como la creación, la vida, el destino y el libre albedrío, el funcionamiento del cuerpo y el espíritu y la relación entre ambos, así como la naturaleza de la autoridad, el sentido de la vida y la muerte; *Descripciones vívidas de las tierras, los animales y los pueblos de Númenor; *Descripciones del aspecto físico de varios personajes de El Señor de los Anillos, entre ellas explicaciones de quién tenía barba y quién no. Todos estos escritos revelan nuevos e insospechados detalles de la filosofía, imaginación y subcreación de Tolkien, que resultan sorprendentes, profundos e incluso divertidos. Esta nueva colección, que ha sido editada por Carl F. Hostetter, uno de los principales expertos en Tolkien, es un auténtico tesoro que ofrece a los lectores una oportunidad de mirar sobre el hombro del Profesor Tolkien mientras iba descubriendo cosas nuevas. En cada página, la Tierra Media vuelve a cobrar vida con una fuerza extraordinaria.",Fiction,,,The Hobbit / Lord of the Rings,Saga,454
El hobbit,John Ronald Ruelen Tolkien,,360.0,1987,,,"Fantasy fiction, English",,,The Hobbit / Lord of the Rings,Saga,917
Crepúsculo. Décimo aniversario. Vida y Muerte Edición Dual,Stephenie Meyer,9786073140553.0,914.0,2015-12-03,http://books.google.com/books/content?id=f3LvCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Stephenie Meyer reinterpreta su exitosa novela 10 años más tarde. ¡Celebra el décimo aniversario de Crepúsculo! Los lectores disfrutarán de la icónica historia de amor de Bella y Edward con una perspectiva renovada. Esta edición especial conmemorativa del décimo aniversario incluye la novela original Crepúsculo, así como una reformulación de la historia completa realizada por la autora, narrada en esta ocasión a través de los ojos de un joven que se enamora de una chica vampiro. A la edición la acompaña un detallado prefacio y epílogo. Crepúsculo ha cautivado a millones de lectores desde su publicación en 2005 y se ha convertido en un clásico moderno, redefiniendo los géneros de la literatura Young Adult e inspirando un fenómeno del que los lectores ansían nuevo contenido. La novela fue número 1 de la lista de bestsellers de The New York Times y USA Today, catalogada como la Mejor Novela Young Adult de Todos los Tiempos por la revista Time, recibió un galardón NPR a la Mejor Novela Adolescente, y fue la recomendación del editor de The New York Times. La ""Saga Crepúsculo"", en la que se incluyen los títulos Crepúsculo, Luna nueva, Eclipse, Amanecer, La segunda vida de Bree Tanner y la Guía ilustrada oficial, ha vendido cerca de 155 millones de copias en todo el mundo y más de 3 millones de ejemplares solo en España.",Young Adult Fiction,5.0,1.0,Twilight,Saga,419
Harry Potter y el misterio del príncipe,"J. K. Rowling, Gemma Rovira Ortega",9788478889938.0,602.0,2006,http://books.google.com/books/content?id=A2PSngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Taitulo original: Harry Potter and the half-blood Prince""--T.p. verso.",Juvenile Fiction,3.0,1.0,Harry Potter,Saga,474
Harry Potter y el prisionero de Azkaban. Edición Slytherin / Harry Potter and the Prisoner of Azkaban Slytherin Edition,J.K. Rowling,9788418174094.0,0.0,2021-01-05,http://books.google.com/books/content?id=6mKREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Siempre tendrás una casa en Hogwarts. Edición 20 aniversario de Harry Potter y el prisionero de Azkaban Deja que la clásica saga de J. K. Rowling te lleve de vuelta al Colegio Hogwarts de Magia y Hechicería. Con motivo de la celebración del 20 aniversario de la primera publicación de Harry Potter y el prisionero de Azkaban, estas irresistibles ediciones rinden homenaje al carácter noble de las cuatro casas de Hogwarts. Con nuevas ilustraciones en el interior y un diseño único para las cubiertas, obra de Levi Pinfold, ganador de la Medalla Kate Greenaway, cada uno de los libros contiene material adicional exclusivo que amplía la información sobre cada casa. Una edición única que no puedes perderte si alguna vez te has imaginado sentado bajo el Sombrero Seleccionador en el Gran Comedor de Hogwarts. ENGLISH DESCRIPTION You will always have a home at Hogwarts. The 20th Anniversary Edition of Harry Potter and the Prisoner of Azkaban Let J.K. Rowling’s classic saga take you back to Hogwarts School of Witchcraft and Wizardry. To celebrate the occasion of the 20th anniversary of the first publication of Harry Potter and the Prisoner of Azkaban, these irresistible editions pay tribute to the noble character of Hogwarts’ four houses. With new illustrations on the inside and a one-of-a-kind cover design, done by Levi Pinfold, winner of the Kate Greenaway Medal, each one of the books contains exclusive additional material that provides more information about each house. A one-of-a-kind edition you can’t miss out on if you’ve ever imagined yourself sitting under the Sorting Hat in the Great Hall at Hogwarts Castle.",Juvenile Fiction,,,Harry Potter,Saga,839
Cazadores de Dune,"Brian Herbert, Kevin J. Anderson",9788401336799.0,0.0,2008,http://books.google.com/books/content?id=pxZevgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"La nave de Duncan Idaho emprende su exótica odisea, acosada por un misterioso y aterrador enemigo. Para poder enfrentarse a él, los fugitivos necesitan hacerse más fuertes: la única alternativa es recurrir a la tecnología genética de Scytale, y así poder revivir las figuras del Dune del pasado y sus prodigiosas habilidades. No hay cabida para la derrota; el futuro de la raza humana está en sus manos",Dune (Imaginary place),,,Dune,Saga,594
Harry Potter y la cámara secreta,J. K. Rowling,9788498380132.0,287.0,2006,http://books.google.com/books/content?id=_p0DLwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,5.0,1.0,Harry Potter,Saga,267
Harry Potter Y El Prisionero de Azkaban / Harry Potter and the Prisoner of Azkab an,J K Rowling,9798890983336.0,0.0,2025-03-18,http://books.google.com/books/content?id=jLnv0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Harry Potter y el prisionero de Azkaban es la tercera novela de la ya clásica serie fantástica de la autora británica J.K. Rowling. «Bienvenido al autobús noctámbulo, transporte de emergencia para el brujo abandonado a su suerte. Levante la varita, suba a bordo y lo llevaremos a donde quiera.» Cuando el autobús noctámbulo irrumpe en una calle oscura y frena con fuertes chirridos delante de Harry, comienza para él un nuevo curso en Hogwarts, lleno de acontecimientos extraordinarios. Sirius Black, asesino y seguidor de lord Voldemort, se ha fugado, y dicen que va en busca de Harry. En su primera clase de Adivinación, la profesora Trelawney ve un augurio de muerte en las hojas de té de la taza de Harry... Pero quizá lo más aterrador sean los dementores que patrullan por los jardines del colegio, capaces de sorberte el alma con su beso... ENGLISH DESCRIPTION Harry Potter and the Prisoner of Azkaban is the third novel in the now-classic fantasy series by British author J.K. Rowling. For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort. Now he has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard Black muttering in his sleep, ""He's at Hogwarts... he's at Hogwarts."" Harry Potter isn't safe, not even within the walls of his magical school, surrounded by his friends. Because on top of it all, there may be a traitor in their midst.",Juvenile Fiction,,,Harry Potter,Saga,372
Harry Potter y el legado maldito,"J.K. Rowling, Jack Thorne, John Tiffany",9781781105290.0,356.0,2018-03-01,http://books.google.com/books/content?id=bftNDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Han pasado diecinueve años desde que Harry Potter, Ron Weasley y Hermione Granger salvaron el mundo mágico. Ahora vuelven con una aventura extraordinaria, acompañados por una nueva generación de valientes estudiantes recién llegados al Colegio Hogwarts de Magia y Hechicería. Mientras Harry lucha contra un pasado que se resiste a quedar atrás, su hijo menor, Albus, siente sobre sí el peso de un legado familiar que nunca quiso llevar. En medio de un conflicto entre el pasado y el presente, padre e hijo se ven envueltos en una carrera por el tiempo. Mientras se enfrentan a unas fuerzas misteriosas, el futuro pende de un hilo. Basado en una historia original de J.K. Rowling, John Tiffany y Jack Thorne, Harry Potter y el legado maldito es el guion de la premiada producción del West End, presentado en su versión íntegra. Esta edición incluye los diálogos y las acotaciones definitivos de esta obra original de dos partes, así como una conversación entre el director John Tiffany y el dramaturgo Jack Thorne, el árbol genealógico de la familia Potter y una línea temporal con los eventos clave del mundo mágico hasta Harry Potter y el legado maldito.",Drama,5.0,1.0,Harry Potter,Saga,592
Una canción para Lya,George R.R. Martin,9786073160131.0,292.0,2017-11-17,http://books.google.com/books/content?id=aqo5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Por primera vez George R. R. Martin, autor internacionalmente reconocido por Juego de tronos , selecciona sus mejores relatos de ciencia ficción y los reúne en dos fantásticos volúmenes inéditos en español. Antes de vender millones de ejemplares y cosechar fama mundial por la saga Canción de Hielo y Fuego , George R. R. Martin publicó cuentos y novelas de fantasía, terror y ciencia ficción. Gracias a sus extraordinarias dotes narrativas y su capacidad magistral para crear mundos y personajes, se ha ganado el respeto de los lectores y la ovación de los jurados de los premios Hugo, Nebula, World Fantasy Awards y varios más. La novela breve que da título a este volumen, acreedora al Premio Hugo en 1975, Una canción para Lya, nos traslada al universo de una pareja de telépatas que intenta descubrir el secreto de la aparente falta de evolución del pueblo shkeen y su fervor a los greeshka, un mortífero parásito; mientras tanto, su relación y el amor profundo que siempre se han tenido parecen estar en riesgo. Junto a Lya, esta edición incluye una vista panorámica del universo de mundos extraterrestres creados por el autor, como El segundo tipo de soledad y Con la mañana se pone la niebla. La crítica ha dicho... «George ha creado una galería de personajes maravillosamente vívidos (a veces conmovedores, a veces grotescos, a veces conmovedores y grotescos) que casi ningún escritor ha conseguido igualar, una galería tan rica y variada que recuerda la de Dickens. Cuando un escritor domina este truco de magia, ya no necesita más.» Gardner Dozois",Fiction,,,Game of Thrones,Saga,640
Harry Potter: Un viaje por la historia de la magia / Harry Potter: A History of Magic,The British Library,9788498388824.0,0.0,2019-05-30,http://books.google.com/books/content?id=MHaREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"¡El libro oficial de la exposición de la Biblioteca Británica y el mejor regalo para los fanáticos de Harry Potter! Para celebrar el 20º aniversario de la publicación de Harry Potter y la piedra filosofal, este libro, que cubre miles de años de historia de la magia, invita a los lectores a emprender un viaje hechizante por el plan de estudios de Hogwarts, desde Cuidado de criaturas mágicas hasta Herbología, pasando por Defensa contra las artes oscuras, Astronomía, Adivinación y muchas asignaturas más. Prepárate para maravillarte con piezas formidables procedentes de los archivos de la Biblioteca Británica, así como bocetos y páginas manuscritas de J.K. Rowling e increíbles ilustraciones del artista Jim Kay. Descubre los verdaderos orígenes de la piedra filosofal, dragones monstruosos y fastidiosos trols, crea tu propia poción, conoce varitas mágicas de la vida real y qué es lo que hace chillar a las mandrágoras, lee atentamente las páginas excepcionales de los cuadernos de Leonardo da Vinci y admira el atlas más antiguo del firmamento. Este viaje inolvidable, cuidadosamente preparado por la Biblioteca Británica y repleto de tesoros extraordinarios recogidos por todos los rincones del mundo, explora los orígenes de la magia que subyace en las historias de Harry Potter. ENGLISH DESCRIPTION The official companion book to the British Library exhibition and the ultimate gift for Harry Potter fans! To celebrate the 20th anniversary of Harry Potter and the Sorcerer’s Stone, readers everywhere are invited to explore the extraordinary subjects of the Hogwarts curriculum – Potions & Alchemy, Divination, Care of Magical Creatures, and more – and examine incredible historical artifacts, items from J.K. Rowling’s personal archive, and stunning original artwork from artist Jim Kay. Discover the truth behind the origins of the Sorcerer's Stone, monstrous dragons, and troublesome trolls; examine real-life wands and find out what actually makes a mandrake scream; pore over remarkable pages from da Vinci's notebook; and discover the oldest atlas of the night sky. Carefully curated by the British Library and full of extraordinary treasures from all over the world, this is an unforgettable journey exploring the history of the magic at the heart of the Harry Potter stories.",Juvenile Fiction,,,Harry Potter,Saga,758
Danza de dragones (Canción de hielo y fuego 5),George R.R. Martin,9786073123709.0,1464.0,2014-04-04,http://books.google.com/books/content?id=l849AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Después de una colosal batalla, el futuro de los Siete Reinos pende de un hilo, acuciado por nuevas amenazas que cobran brío en todos sus rincones... Danza de dragones es el quinto volumen de Canción de hielo y fuego, la monumental saga de fantasía épica del escritor George R. R. Martin que ha vendido más de 20 millones de ejemplares en todo el mundo. La saga que inspiró la filmación de la aclamada serie televisiva de HBO: Game of Thrones Después de una colosal batalla, el futuro de los Siete Reinos pende de un hilo, acuciado por nuevas amenazas que emergen de todos los rincones y en todas direcciones. En el este, Daenerys Targaryen, el último eslabón de la Casa Targaryen, gobierna con sus tres dragones como la reina de una ciudad construida sobre polvo y muerte. Pero Daenerys tiene miles de enemigos, y muchos se han propuesto dar con ella. A medida que ellos la buscan, un joven emprende su propio camino hacia la reina, con un objetivo diametralmente distinto... Tyrion Lannister también se dirige hacia Daenerys mientras escapa de Poniente, donde le han puesto precio a su cabeza. Sus nuevos aliados en esta huida, no obstante, no son los malhechores que aparentan ser, y entre ellos se encuentra aquel que podría impedir que Daenerys se haga del control de Poniente para siempre. Mientras tanto, al norte se halla el colosal Muro de Hielo. Allí, Jon Nieve enfrentará el más grande de los retos: sus más acérrimos enemigos no sólo forman parte de la guardia que dirige, sino que se extienden más allá de la tenebrosa tierra de las criaturas de hielo. De todos los rincones, enconados conflictos cobran nuevos bríos, traiciones íntimas se perpetran y un gran elenco de proscritos y sacerdotes, soldados y criaturas camaleónicas, nobles y esclavos, enfrentarán obstáculos en apariencia insuperables. Algunos fracasarán, otros crecerán en la fuerza de la oscuridad. Pero en tiempos de agitación in crescendo, los hilos del destino y la política arrastrarán a los personajes y al lector, inevitablemente, a la más espectacular de las danzas.",Fiction,,,Game of Thrones,Saga,335
Festín de cuervos (Canción de hielo y fuego 4),George R.R. Martin,9786073123693.0,1145.0,2014-04-04,http://books.google.com/books/content?id=tM82AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Luego de siglos de guerras descarnadas, los siete poderes que dividen la tierra han alcanzado una difícil tregua. Pero no pasa mucho tiempo antes de que los sobrevivientes, los proscritos, los renegados y los carroñeros de los Siete Reinos se reúnan... Festín de cuervos es el cuarto volumen de Canción de hielo y fuego, la monumental saga de fantasía épica del escritor George R. R. Martin que ha vendido más de 20 millones de ejemplares en todo el mundo. La saga que inspiró la filmación de la aclamada serie televisiva de HBO: Game of Thrones. Cuando se apaga el clamor de las espadas, solamente queda carroña para los cuervos. Luego de siglos de guerras descarnadas, los siete poderes que dividen la tierra se han diezmado unos a otros hasta alcanzar una difícil tregua. Muy pocos reclamos legítimos existen ya por el Trono de Hierro, y la guerra que ha convertido al mundo en poco más que un desierto al fin ha terminado. O eso parece. Pero no pasa mucho tiempo antes de que los sobrevivientes, los proscritos, los renegados y los carroñeros de los Siete Reinos se reúnan. Ahora, como cuervos humanos que acechan un banquete de cenizas, nuevas intrigas y peligrosas alianzas se forman, a la vez que rostros sorprendentes algunos familiares, otros desconocidos emergen de un siniestro crepúsculo de caos y luchas pasadas para asumir los desafíos de los terribles tiempos que se avecinan. Nobles y plebeyos, soldados y hechiceros, asesinos y sabios se unen para hacer valer su vida y sus fortunas. Porque en un festín de cuervos, muchos son los invitados... pero sólo unos pocos logran sobrevivir.",Fiction,4.0,1.0,Game of Thrones,Saga,594
Harry Potter y la piedra filosofal,J. K. Rowling,9788498388886.0,303.0,2018,,,,,,Harry Potter,Saga,490
El mar de los monstruos (Percy Jackson y los dioses del Olimpo 2),Rick Riordan,9788415470335.0,243.0,2011-12-06,http://books.google.com/books/content?id=Aey-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Continúa la serie de aventuras «Percy Jackson y los Dioses del Olimpo», iniciada con El ladrón del rayo, con esta apasionante entrega. En pleno siglo XXI, los antiguos dioses griegos han creado un mundo secreto a nuestro alrededor, donde el monte Olimpo se encuentra encima del Empire State y el reino de Hades en el subsuelo de Los Ángeles. Desde que sabe que es hijo de un dios y una mortal, Percy Jackson espera que el destino le depare continuas aventuras. Y su expectativa se cumplirá con creces. Aunque el nuevo curso en la Escuela Meriwether transcurre con inusual normalidad, un simple partido de balón prisionero acaba en batalla campal contra una banda de feroces gigantes. A partir de ahí, las cosas se precipitan: el perímetro mágico que protege el Campamento Mestizo es destruido por un misterioso enemigo y la única seguridad con que contaban los semidioses desaparece. Así, para impedir este daño irreparable, Percy y sus amigos inician la travesía del temible Mar de los Monstruos en busca de lo único que puede salvar el campamento: el Vellocino de Oro. ** Más vendidos del The New York Times y Publishers Weekly. ** Llevada a la gran pantalla a cargo de Chris Columbus, director de las dos primeras entregas de «Harry Potter». Sobre «Percy Jackson y los Dioses del Olimpo» se ha dicho: «No sigas buscando al nuevo Harry Potter: descubre a Percy Jackson, como lo han hecho ya legiones de admiradores.» Kirkus Reviews",Young Adult Fiction,5.0,1.0,Percy Jackson,Saga,843
Dune / Dune: Deluxe Edition,Frank Herbert,9788466363402.0,0.0,2024-03-19,http://books.google.com/books/content?id=40Q60AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Dune es la primera novela de la serie homónima «Dune» de Frank Herbert, una obra maestra unánimemente reconocida como la mejor saga de ciencia ficción de todos los tiempos. Arrakis : un planeta desértico donde el agua es el bien más preciado y, donde llorar a los muertos es el símbolo de máxima prodigalidad. Paul Atreides : un adolescente marcado por un destino singular, dotado de extraños poderes y, abocado a convertirse en dictador, mesías y mártir. Los Harkonnen : personificación de las intrigas que rodean el Imperio Galáctico, buscan obtener el control sobre Arrakis para disponer de la melange, preciosa especia y uno de los bienes más codiciados del universo. Los Fremen : seres libres que han convertido el inhóspito paraje de Dune en su hogar, y que se sienten orgullosos de su pasado y temerosos de su futuro.",,,,Dune,Saga,707
Harry Potter y las reliquias de la muerte (20 Aniv. Gryffindor) / Harry Potter a nd the Deathly Hallows (Gryffindor),J.K. Rowling,9788418797057.0,0.0,2023-03-21,http://books.google.com/books/content?id=SGSREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Siempre tendrás una casa en Hogwarts. Edición del vigésimo aniversario de Harry Potter y las reliquias de la muerte. «La clásica saga de J. K. Rowling te llevará de vuelta al Colegio Hogwarts de Magia y Hechicería.» Con motivo de la celebración del veinte aniversario de la primera publicación de Harry Potter, se publican estas preciosas ediciones que rinden homenaje al carácter noble de las cuatro casas de Hogwarts. Con ilustraciones nuevas en el interior y un diseño único en las cubiertas, obra de Levi Pinfold, ganador de la Medalla Kate Greenaway, cada uno de los libros contiene material adicional exclusivo sobre cada casa. Una edición única que no puedes perderte si alguna vez te has imaginado sentado bajo el Sombrero Seleccionador en el Gran Comedor de Hogwarts. ENGLISH DESCRIPTION Celebrate Harry Potter’s 20th anniversary with this special edition of Harry Potter and the Deathly Hallows. WEAR YOUR HOGWARTS HOUSE COLORS WITH PRIDE! It all comes down to this – a final faceoff between good and evil. You plan to pull out all the stops, but every time you solve one mystery, three more evolve. Do you stay the course you started, despite your lack of progress? Do you detour and follow a new lead that may not help? Do you listen to your instincts, or your friends? Lord Voldemort is preparing for battle and so must Harry. With Ron and Hermione at his side, he’s trying to hunt down Voldemort’s Horcruxes, escape danger at every turn, and find a way to defeat evil once and for all. How does it all end? Find out in Harry Potter and the Deathly Hallows.",Juvenile Fiction,,,Harry Potter,Saga,405
Harry Potter y el cáliz de fuego (20 Aniv. Slytherin) / Harry Potter and the Gob let of Fire (Slytherin),J. K. Rowling,9788418174377.0,0.0,2021-12-07,http://books.google.com/books/content?id=mmKREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Celebra el 20º aniversario de Harry Potter con esta edición especial de Harry Potter y el cáliz de fuego. «Habrá tres pruebas, espaciadas en el curso escolar, que medirán a los campeones en muchos aspectos diferentes: sus habilidades mágicas, su osadía, sus dotes de deducción y, por supuesto, su capacidad para sortear el peligro.» Se va a celebrar en Hogwarts el Torneo de los Tres Magos. Sólo los alumnos mayores de diecisiete años pueden participar en esta competición, pero, aun así, Harry sueña con ganarla. En Halloween, cuando el cáliz de fuego elige a los campeones, Harry se lleva una sorpresa al ver que su nombre es uno de los escogidos por el cáliz mágico. Durante el torneo deberá enfrentarse a desafíos mortales, dragones y magos tenebrosos, pero con la ayuda de Ron y Hermione, sus mejores amigos, ¡quizá logre salir con vida! ENGLISH DESCRIPTION Celebrate Harry Potter’s 20th anniversary with this special edition of Harry Potter and the Goblet of Fire. “There will be three tests, spaced throughout the school year, that will test the champions in many different ways: their magical abilities, their daring, their deduction skills, and of course, their ability to overcome danger.” The Triwizard Tournament is going to be held at Hogwarts. Only students over the age of seventeen are allowed to enter the competition, but even so, Harry dreams of winning it. On Halloween, when the Goblet of Fire chooses the champions, Harry is shocked to see that his name is one of those chosen by the Magic Goblet. During the tournament he will have to face deadly challenges, dragons, and dark wizards, but with the help of his best friends Ron and Hermione, he may just be able to get out alive!",Juvenile Fiction,,,Harry Potter,Saga,409
Twilight Crook,Eva Chase,9781989096772.0,374.0,2020-08-19,http://books.google.com/books/content?id=uQ-7zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Fiction,,,Twilight,Saga,191
Las pruebas de Apolo 5 - La torre de Nerón,Rick Riordan,9788418057076.0,449.0,2020-11-05,http://books.google.com/books/content?id=NPcCEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"¡El final de la saga más espectacular de Rick Riordan! Lester y sus amigos semidioses han superado todas las pruebas, o eso creían. Ahora que el Campamento Júpiter está a salvo, Lester tiene una última aventura por delante... y no será nada fácil salir con vida de ella. Ha llegado el momento para Apolo y Meg de enfrentarse al último emperador, el peor de todos: el temible Nerón. Para poder volver a su forma divina, Apolo tendrá que destruirlo de una vez por todas. ¿Será capaz de encontrar la forma de acabar con él y salvar el mundo de la destrucción? ¿Conseguirá Lester recuperar el destino de Apolo?",Young Adult Fiction,5.0,1.0,Percy Jackson,Saga,957
La cadena de hierro,Cassandra Clare,9788408253389.0,759.0,2022-01-26,http://books.google.com/books/content?id=OhFVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Cordelia Carstairs parece tener todo lo que siempre ha querido. Se va a casar con James Herondale, de quien está enamorada desde la infancia; tiene una nueva vida en Londres con su mejor amiga, Lucie Herondale, y los amigos de James, los Alegres Compañeros; está a punto de reunirse con su querido padre y es la portadora de Cortana, una espada legendaria. Pero la realidad es mucho más triste. Su matrimonio con James es solo un acuerdo y él está enamorado de la misteriosa Grace Blackthorn; Cordelia se quema la mano cuando toca a Cortana; su padre cada vez está más amargado y rabioso, y un asesino en serie está matando a cazadores de sombras de Londres, degollándolos al amparo de la oscuridad, para luego desaparecer sin dejar rastro. Junto con los Alegres Compañeros, Cordelia, James y Lucie deben seguir la pista del sangriento asesino por las calles más peligrosas de la ciudad. Al mismo tiempo, cada uno guarda un impactante secreto.",Juvenile Fiction,,,Shadowhunters,Saga,817
